股票名称,股票代码,买入价,最佳卖出日,最佳卖出日期,最佳卖出价,最大收益率,最大连续涨停天数,涨停开始日期
华胜天成,600410,20.18,8,2026-01-23,40.36,100.0,6,2026-01-14
格尔软件,603232,25.15,8,2026-01-23,50.3,100.0,6,2026-01-14
国际医学,516,5.63,10,2026-01-27,11.187000000000001,98.70337477797516,5,2026-01-14
美年健康,2044,7.41,10,2026-01-27,14.718000000000002,98.62348178137654,4,2026-01-14
东方通信,600776,24.63,10,2026-01-27,46.05,86.96711327649207,4,2026-01-14
直真科技,3007,54.34,9,2026-01-26,98.09,80.51159366948839,3,2026-01-14
利欧股份,2131,9.03,9,2026-01-26,15.44,70.98560354374308,1,2026-01-14
引力传媒,603598,31.37,8,2026-01-23,48.34,54.09627032196367,1,2026-01-16
鹭燕医疗,2788,26.26,10,2026-01-27,33.99,29.43640517897943,1,2026-01-14
