股票名称,股票代码,预测日期,区间起点,区间终点,最低值日期,最低值,异动类型,异动价格,最后交易日价格,可涨幅度
利欧股份,002131,2026-01-14,2025-12-29,2026-01-14,2025-12-29,5.10,10日异动,10.49,9.03,16.13%
利欧股份,002131,2026-01-15,2025-12-30,2026-01-15,2025-12-30,5.13,10日异动,10.54,9.03,16.70%
利欧股份,002131,2026-01-16,2026-01-04,2026-01-16,2026-01-05,6.20,10日异动,12.63,9.03,39.84%
利欧股份,002131,2026-01-19,2026-01-05,2026-01-19,2026-01-05,6.20,10日异动,12.63,9.03,39.84%
利欧股份,002131,2026-01-20,2026-01-06,2026-01-20,2026-01-07,6.59,10日异动,13.32,9.03,47.51%
利欧股份,002131,2026-01-21,2026-01-07,2026-01-21,2026-01-07,6.59,10日异动,13.32,9.03,47.51%
利欧股份,002131,2026-01-22,2026-01-08,2026-01-22,2026-01-08,6.78,10日异动,13.69,9.03,51.63%
利欧股份,002131,2026-01-23,2025-12-10,2026-01-23,2025-12-16,4.97,30日异动,15.44,9.03,71.01%
利欧股份,002131,2026-01-26,2025-12-11,2026-01-26,2025-12-16,4.97,30日异动,15.44,9.03,71.01%
利欧股份,002131,2026-01-27,2025-12-14,2026-01-27,2025-12-16,4.97,30日异动,15.44,9.03,71.01%

引力传媒,603598,2026-01-14,2025-12-29,2026-01-14,2025-12-29,15.88,10日异动,32.46,31.37,3.46%
引力传媒,603598,2026-01-15,2025-12-30,2026-01-15,2025-12-30,16.42,10日异动,33.56,31.37,6.98%
引力传媒,603598,2026-01-16,2026-01-04,2026-01-16,2026-01-05,18.69,10日异动,37.92,31.37,20.87%
引力传媒,603598,2026-01-19,2026-01-05,2026-01-19,2026-01-05,18.69,10日异动,37.92,31.37,20.87%
引力传媒,603598,2026-01-20,2026-01-06,2026-01-20,2026-01-06,20.56,10日异动,41.40,31.37,31.97%
引力传媒,603598,2026-01-21,2026-01-07,2026-01-21,2026-01-07,22.62,10日异动,45.53,31.37,45.15%
引力传媒,603598,2026-01-22,2026-01-08,2026-01-22,2026-01-08,23.57,10日异动,47.46,31.37,51.30%
引力传媒,603598,2026-01-23,2025-12-10,2026-01-23,2025-12-29,15.88,30日异动,48.34,31.37,54.08%
引力传媒,603598,2026-01-26,2025-12-11,2026-01-26,2025-12-29,15.88,30日异动,48.34,31.37,54.08%
引力传媒,603598,2026-01-27,2025-12-14,2026-01-27,2025-12-29,15.88,30日异动,48.34,31.37,54.08%

鹭燕医疗,002788,2026-01-14,2025-12-01,2026-01-14,2025-12-01,9.68,30日异动,29.81,26.26,13.52%
鹭燕医疗,002788,2026-01-15,2025-12-02,2026-01-15,2025-12-02,9.98,30日异动,30.81,26.26,17.32%
鹭燕医疗,002788,2026-01-16,2025-12-03,2026-01-16,2025-12-04,10.17,30日异动,31.50,26.26,19.96%
鹭燕医疗,002788,2026-01-19,2025-12-04,2026-01-19,2025-12-04,10.17,30日异动,31.50,26.26,19.96%
鹭燕医疗,002788,2026-01-20,2025-12-07,2026-01-20,2025-12-11,10.52,30日异动,32.50,26.26,23.76%
鹭燕医疗,002788,2026-01-21,2025-12-08,2026-01-21,2025-12-11,10.52,30日异动,32.50,26.26,23.76%
鹭燕医疗,002788,2026-01-22,2025-12-09,2026-01-22,2025-12-11,10.52,30日异动,32.50,26.26,23.76%
鹭燕医疗,002788,2026-01-23,2025-12-10,2026-01-23,2025-12-11,10.52,30日异动,32.50,26.26,23.76%
鹭燕医疗,002788,2026-01-26,2025-12-11,2026-01-26,2025-12-11,10.52,30日异动,32.50,26.26,23.76%
鹭燕医疗,002788,2026-01-27,2025-12-14,2026-01-27,2025-12-15,11.00,30日异动,33.99,26.26,29.45%

美年健康,002044,2026-01-14,2025-12-29,2026-01-14,2025-12-29,5.17,10日异动,10.63,7.41,43.47%
美年健康,002044,2026-01-15,2025-12-30,2026-01-15,2025-12-30,5.17,10日异动,10.62,7.41,43.32%
美年健康,002044,2026-01-16,2026-01-04,2026-01-16,2026-01-07,5.41,10日异动,10.93,7.41,47.57%
美年健康,002044,2026-01-19,2026-01-05,2026-01-19,2026-01-07,5.41,10日异动,10.93,7.41,47.57%
美年健康,002044,2026-01-20,2026-01-06,2026-01-20,2026-01-07,5.41,10日异动,10.93,7.41,47.57%
美年健康,002044,2026-01-21,2026-01-07,2026-01-21,2026-01-07,5.41,10日异动,10.93,7.41,47.57%
美年健康,002044,2026-01-22,2026-01-08,2026-01-22,2026-01-08,5.57,10日异动,11.25,7.41,51.80%
美年健康,002044,2026-01-23,2026-01-11,2026-01-23,2026-01-12,6.74,10日异动,13.38,7.41,80.63%
美年健康,002044,2026-01-26,2026-01-12,2026-01-26,2026-01-12,6.74,10日异动,13.38,7.41,80.63%
美年健康,002044,2026-01-27,2026-01-13,2026-01-27,2026-01-13,7.41,10日异动,14.82,7.41,100.00%

国际医学,000516,2026-01-14,2025-12-29,2026-01-14,2025-12-31,4.29,10日异动,8.83,5.63,56.77%
国际医学,000516,2026-01-15,2025-12-30,2026-01-15,2025-12-31,4.29,10日异动,8.83,5.63,56.77%
国际医学,000516,2026-01-16,2026-01-04,2026-01-16,2026-01-05,4.72,10日异动,9.61,5.63,70.75%
国际医学,000516,2026-01-19,2026-01-05,2026-01-19,2026-01-05,4.72,10日异动,9.61,5.63,70.75%
国际医学,000516,2026-01-20,2026-01-06,2026-01-20,2026-01-09,4.93,10日异动,9.89,5.63,75.66%
国际医学,000516,2026-01-21,2026-01-07,2026-01-21,2026-01-09,4.93,10日异动,9.89,5.63,75.66%
国际医学,000516,2026-01-22,2026-01-08,2026-01-22,2026-01-09,4.93,10日异动,9.89,5.63,75.66%
国际医学,000516,2026-01-23,2026-01-11,2026-01-23,2026-01-12,5.12,10日异动,10.17,5.63,80.59%
国际医学,000516,2026-01-26,2026-01-12,2026-01-26,2026-01-12,5.12,10日异动,10.17,5.63,80.59%
国际医学,000516,2026-01-27,2026-01-13,2026-01-27,2026-01-13,5.63,10日异动,11.26,5.63,100.00%

直真科技,003007,2026-01-14,2025-12-29,2026-01-14,2025-12-30,36.65,10日异动,75.28,54.34,38.54%
直真科技,003007,2026-01-15,2025-12-30,2026-01-15,2025-12-30,36.65,10日异动,75.28,54.34,38.54%
直真科技,003007,2026-01-16,2026-01-04,2026-01-16,2026-01-05,36.88,10日异动,75.11,54.34,38.23%
直真科技,003007,2026-01-19,2026-01-05,2026-01-19,2026-01-05,36.88,10日异动,75.11,54.34,38.23%
直真科技,003007,2026-01-20,2026-01-06,2026-01-20,2026-01-06,37.08,10日异动,74.99,54.34,38.00%
直真科技,003007,2026-01-21,2026-01-07,2026-01-21,2026-01-07,37.12,10日异动,75.03,54.34,38.07%
直真科技,003007,2026-01-22,2026-01-08,2026-01-22,2026-01-08,40.83,10日异动,82.46,54.34,51.74%
直真科技,003007,2026-01-23,2025-12-10,2026-01-23,2025-12-16,31.57,30日异动,98.09,54.34,80.51%
直真科技,003007,2026-01-26,2025-12-11,2026-01-26,2025-12-16,31.57,30日异动,98.09,54.34,80.51%
直真科技,003007,2026-01-27,2025-12-14,2026-01-27,2025-12-16,31.57,30日异动,98.09,54.34,80.51%

东方通信,600776,2026-01-14,2025-12-29,2026-01-14,2025-12-29,15.35,10日异动,31.37,24.63,27.37%
东方通信,600776,2026-01-15,2025-12-30,2026-01-15,2025-12-31,16.50,10日异动,33.71,24.63,36.85%
东方通信,600776,2026-01-16,2026-01-04,2026-01-16,2026-01-05,18.15,10日异动,36.82,24.63,49.50%
东方通信,600776,2026-01-19,2026-01-05,2026-01-19,2026-01-05,18.15,10日异动,36.82,24.63,49.50%
东方通信,600776,2026-01-20,2026-01-06,2026-01-20,2026-01-07,18.35,10日异动,36.94,24.63,49.97%
东方通信,600776,2026-01-21,2026-01-07,2026-01-21,2026-01-07,18.35,10日异动,36.94,24.63,49.97%
东方通信,600776,2026-01-22,2026-01-08,2026-01-22,2026-01-08,18.50,10日异动,37.25,24.63,51.25%
东方通信,600776,2026-01-23,2025-12-10,2026-01-23,2025-12-10,13.84,30日异动,42.37,24.63,72.01%
东方通信,600776,2026-01-26,2026-01-12,2026-01-26,2026-01-12,22.39,10日异动,44.64,24.63,81.23%
东方通信,600776,2026-01-27,2025-12-14,2026-01-27,2025-12-19,15.03,30日异动,46.05,24.63,86.97%

华胜天成,600410,2026-01-14,2025-12-29,2026-01-14,2025-12-30,17.52,10日异动,35.81,20.18,77.44%
华胜天成,600410,2026-01-15,2025-12-30,2026-01-15,2025-12-30,17.52,10日异动,35.81,20.18,77.44%
华胜天成,600410,2026-01-16,2026-01-04,2026-01-16,2026-01-06,18.45,10日异动,37.15,20.18,84.09%
华胜天成,600410,2026-01-19,2026-01-05,2026-01-19,2026-01-06,18.45,10日异动,37.15,20.18,84.09%
华胜天成,600410,2026-01-20,2026-01-06,2026-01-20,2026-01-06,18.45,10日异动,37.15,20.18,84.09%
华胜天成,600410,2026-01-21,2026-01-07,2026-01-21,2026-01-07,18.75,10日异动,37.74,20.18,87.03%
华胜天成,600410,2026-01-22,2026-01-08,2026-01-22,2026-01-08,19.29,10日异动,38.84,20.18,92.49%
华胜天成,600410,2026-01-23,2026-01-11,2026-01-23,2026-01-13,20.18,10日异动,40.36,20.18,100.00%
华胜天成,600410,2026-01-26,2026-01-12,2026-01-26,2026-01-13,20.18,10日异动,40.36,20.18,100.00%
华胜天成,600410,2026-01-27,2026-01-13,2026-01-27,2026-01-13,20.18,10日异动,40.36,20.18,100.00%

格尔软件,603232,2026-01-14,2025-12-29,2026-01-14,2025-12-29,22.58,10日异动,46.15,25.15,83.50%
格尔软件,603232,2026-01-15,2025-12-30,2026-01-15,2025-12-31,22.95,10日异动,46.88,25.15,86.42%
格尔软件,603232,2026-01-16,2026-01-04,2026-01-16,2026-01-05,23.18,10日异动,47.03,25.15,86.98%
格尔软件,603232,2026-01-19,2026-01-05,2026-01-19,2026-01-05,23.18,10日异动,47.03,25.15,86.98%
格尔软件,603232,2026-01-20,2026-01-06,2026-01-20,2026-01-06,23.76,10日异动,47.84,25.15,90.22%
格尔软件,603232,2026-01-21,2026-01-07,2026-01-21,2026-01-07,24.04,10日异动,48.39,25.15,92.41%
格尔软件,603232,2026-01-22,2026-01-08,2026-01-22,2026-01-09,24.30,10日异动,48.71,25.15,93.67%
格尔软件,603232,2026-01-23,2026-01-11,2026-01-23,2026-01-13,25.15,10日异动,50.30,25.15,100.00%
格尔软件,603232,2026-01-26,2026-01-12,2026-01-26,2026-01-13,25.15,10日异动,50.30,25.15,100.00%
格尔软件,603232,2026-01-27,2026-01-13,2026-01-27,2026-01-13,25.15,10日异动,50.30,25.15,100.00%

