股票名称,股票代码,买入价,最佳卖出日,最佳卖出日期,最佳卖出价,最大收益率,最大连续涨停天数,涨停开始日期
平潭发展,592,15.41,8,2026-01-23,30.82,100.0,7,2026-01-14
航天动力,600343,45.78,8,2026-01-23,91.56,100.0,7,2026-01-14
国晟科技,603778,25.2,6,2026-01-21,35.67,41.54761904761906,2,2026-01-14
神剑股份,2361,16.48,10,2026-01-27,20.85,26.516990291262132,2,2026-01-14
嘉美包装,2969,17.55,0,,17.55,0.0,0,
盛通能源,1331,62.28,0,,62.28,0.0,0,
