股票名称,股票代码,买入价,最佳卖出日,最佳卖出日期,最佳卖出价,最大收益率,最大连续涨停天数,涨停开始日期
航天机电,600151,20.51,8,2026-01-23,41.02,100.0,7,2026-01-14
三维通信,2115,17.81,10,2026-01-27,33.14,86.07523862998316,3,2026-01-14
杭萧钢构,600477,4.36,10,2026-01-27,8.01,83.7155963302752,3,2026-01-14
银河电子,2519,10.42,6,2026-01-21,17.24,65.4510556621881,3,2026-01-14
航天电子,600879,28.4,10,2026-01-27,46.75000000000001,64.61267605633807,2,2026-01-14
海格通信,2465,24.2,7,2026-01-22,39.6,63.63636363636365,3,2026-01-14
北斗星通,2151,60.21,10,2026-01-27,98.09,62.91313735259925,4,2026-01-14
金风科技,2202,33.95,9,2026-01-26,49.99,47.245949926362286,2,2026-01-14
通宇通讯,2792,69.97,10,2026-01-27,96.063,37.291696441332014,1,2026-01-14
中国卫星,600118,121.52,10,2026-01-27,162.13,33.41836734693877,1,2026-01-19
神剑股份,2361,16.48,10,2026-01-27,20.85,26.516990291262132,2,2026-01-14
鲁信创投,600783,39.44,3,2026-01-16,45.12,14.401622718052742,1,2026-01-14
