股票名称,股票代码
三维通信,002115
海格通信,002465
中国卫星,600118
北斗星通,002151
鲁信创投,600783
金风科技,002202
银河电子,002519
杭萧钢构,600477
通宇通讯,002792
神剑股份,002361
航天动力,600343
航天电子,600879
航天机电,600151
