股票名称,股票代码
航天发展,000547
航天动力,600343
中国卫星,600118
中国卫通,601698
北斗星通,002151
鲁信创投,600783
金风科技,002202
越秀资本,000987
银河电子,002519
航天电子,600879
通宇通讯,002792
顺灏股份,002565
雷科防务,002415
上海港湾,605598
上海沪工,603131
再升科技,603601
西部材料,002149
华菱线缆,001208
神剑股份,002361
航天科技,000901
航天电器,002025
航天工程,603698
航天机电,600151


