股票名称,股票代码,买入价,最佳卖出日,最佳卖出日期,最佳卖出价,最大收益率,最大连续涨停天数,涨停开始日期
格尔软件,603232,27.16,10,2026-01-28,54.32,100.0,6,2026-01-15
华胜天成,600410,22.2,10,2026-01-28,44.33,99.68468468468468,5,2026-01-15
国际医学,516,6.19,10,2026-01-28,12.342000000000002,99.38610662358644,4,2026-01-15
美年健康,2044,8.15,10,2026-01-28,15.27,87.36196319018403,3,2026-01-15
东方通信,600776,26.1,9,2026-01-27,46.0,76.24521072796935,3,2026-01-15
直真科技,3007,59.77,8,2026-01-26,98.32,64.49723941776809,2,2026-01-15
利欧股份,2131,9.93,8,2026-01-26,15.48,55.891238670694875,1,2026-01-16
引力传媒,603598,32.4,7,2026-01-23,48.29,49.0432098765432,1,2026-01-16
鹭燕医疗,2788,24.3,9,2026-01-27,34.07,40.20576131687243,2,2026-01-15
