股票名称,股票代码,预测日期,区间起点,区间终点,最低值日期,最低值,异动类型,异动价格,最后交易日价格,可涨幅度
志特新材,300986,2026-01-12,2025-12-25,2026-01-12,2025-12-26,10.22,10日异动,20.92,27.82,-24.82%
志特新材,300986,2026-01-13,2025-12-28,2026-01-13,2025-12-29,10.25,10日异动,21.01,27.82,-24.47%
志特新材,300986,2026-01-14,2025-12-29,2026-01-14,2025-12-29,10.25,10日异动,21.01,27.82,-24.47%
志特新材,300986,2026-01-15,2025-12-30,2026-01-15,2025-12-30,10.26,10日异动,21.01,27.82,-24.48%
志特新材,300986,2026-01-16,2026-01-04,2026-01-16,2026-01-05,13.42,10日异动,27.25,27.82,-2.05%
志特新材,300986,2026-01-19,2026-01-05,2026-01-19,2026-01-05,13.42,10日异动,27.25,27.82,-2.05%
志特新材,300986,2026-01-20,2025-12-07,2026-01-20,2025-12-16,9.81,30日异动,30.41,27.82,9.33%
志特新材,300986,2026-01-21,2025-12-08,2026-01-21,2025-12-16,9.81,30日异动,30.41,27.82,9.33%
志特新材,300986,2026-01-22,2025-12-09,2026-01-22,2025-12-16,9.81,30日异动,30.41,27.82,9.33%
志特新材,300986,2026-01-23,2025-12-10,2026-01-23,2025-12-16,9.81,30日异动,30.41,27.82,9.33%

易点天下,301171,2026-01-12,2025-12-25,2026-01-12,2025-12-26,34.95,10日异动,71.53,52.69,35.75%
易点天下,301171,2026-01-13,2025-12-28,2026-01-13,2025-12-29,35.20,10日异动,72.16,52.69,36.95%
易点天下,301171,2026-01-14,2025-12-29,2026-01-14,2025-12-29,35.20,10日异动,72.16,52.69,36.95%
易点天下,301171,2026-01-15,2025-12-30,2026-01-15,2025-12-30,36.74,10日异动,75.24,52.69,42.79%
易点天下,301171,2026-01-16,2026-01-04,2026-01-16,2026-01-06,41.35,10日异动,83.37,52.69,58.22%
易点天下,301171,2026-01-19,2026-01-05,2026-01-19,2026-01-06,41.35,10日异动,83.37,52.69,58.22%
易点天下,301171,2026-01-20,2026-01-06,2026-01-20,2026-01-06,41.35,10日异动,83.37,52.69,58.22%
易点天下,301171,2026-01-21,2026-01-07,2026-01-21,2026-01-07,41.47,10日异动,83.57,52.69,58.60%
易点天下,301171,2026-01-22,2026-01-08,2026-01-22,2026-01-08,43.91,10日异动,88.41,52.69,67.79%
易点天下,301171,2026-01-23,2025-12-10,2026-01-23,2025-12-18,33.33,30日异动,102.99,52.69,95.46%

昆仑万维,300418,2026-01-12,2025-12-25,2026-01-12,2025-12-29,39.67,10日异动,81.32,54.02,50.54%
昆仑万维,300418,2026-01-13,2025-12-28,2026-01-13,2025-12-29,39.67,10日异动,81.32,54.02,50.54%
昆仑万维,300418,2026-01-14,2025-12-29,2026-01-14,2025-12-29,39.67,10日异动,81.32,54.02,50.54%
昆仑万维,300418,2026-01-15,2025-12-30,2026-01-15,2025-12-30,40.18,10日异动,82.28,54.02,52.32%
昆仑万维,300418,2026-01-16,2026-01-04,2026-01-16,2026-01-05,43.77,10日异动,88.87,54.02,64.52%
昆仑万维,300418,2026-01-19,2026-01-05,2026-01-19,2026-01-05,43.77,10日异动,88.87,54.02,64.52%
